size,time(nanoSeconds),timePerSize
1000,269267.3,269.2673
1100,88650.6,80.59145454545455
1200,85198.6,70.99883333333334
1300,91371.1,70.28546153846155
1400,98916.8,70.65485714285714
1500,108545.7,72.3638
1600,110379.9,68.9874375
1700,101625.3,59.77958823529412
1800,129430.2,71.90566666666666
1900,138377.6,72.83031578947369
2000,135378.0,67.689
2100,114274.0,54.41619047619048
2200,119981.9,54.53722727272727
2300,126091.6,54.822434782608696
2400,131483.7,54.78487500000001
2500,138531.3,55.412519999999994
2600,144053.4,55.405153846153844
2700,150765.3,55.839
2800,157037.8,56.08492857142857
2900,162565.8,56.0571724137931
3000,169318.4,56.43946666666667
3100,174961.0,56.439032258064515
3200,182282.8,56.963375
3300,198490.6,60.14866666666667
3400,193294.0,56.851176470588236
3500,201521.8,57.57765714285714
3600,204875.8,56.90994444444444
3700,210631.2,56.927351351351355
3800,216282.4,56.91642105263158
3900,223271.8,57.24917948717948
4000,229909.5,57.477375
4100,236426.2,57.664926829268296
4200,243770.4,58.040571428571425
4300,250080.5,58.15825581395349
4400,256715.6,58.344454545454546
4500,261623.9,58.138644444444445
4600,266993.2,58.042
4700,275217.0,58.5568085106383
4800,284055.7,59.178270833333336
4900,288257.4,58.828040816326535
5000,294502.3,58.900459999999995
5100,300016.6,58.82678431372548
5200,307534.8,59.14130769230769
5300,313009.2,59.05833962264151
5400,320071.9,59.27257407407408
5500,325477.2,59.17767272727273
5600,333020.3,59.467910714285715
5700,338655.1,59.41317543859649
5800,346485.8,59.73893103448275
5900,352210.5,59.696694915254234
6000,360590.0,60.098333333333336
6100,365037.3,59.84218032786885
6200,374739.0,60.44177419354839
6300,377339.0,59.89507936507937
6400,387718.1,60.58095312499999
6500,392517.4,60.38729230769231
6600,400316.4,60.654
6700,406916.0,60.73373134328358
6800,409054.1,60.15501470588235
6900,420481.6,60.93936231884058
7000,425426.9,60.77527142857143
7100,432309.2,60.88861971830986
7200,440716.8,61.21066666666667
7300,449500.7,61.57543835616438
7400,454342.1,61.39758108108108
7500,459405.5,61.25406666666667
7600,467522.8,61.51615789473684
7700,473533.9,61.4979090909091
7800,480862.1,61.64898717948718
7900,484213.7,61.29287341772152
8000,495090.4,61.886300000000006
8100,499386.4,61.65264197530865
8200,503493.8,61.40168292682927
8300,513298.8,61.84322891566265
8400,521939.0,62.135595238095235
8500,527682.9,62.08034117647059
8600,533383.4,62.02132558139535
8700,539938.1,62.06185057471264
8800,550932.8,62.60600000000001
8900,552959.9,62.130325842696635
9000,559079.8,62.119977777777784
9100,567651.3,62.37926373626374
9200,574156.6,62.40832608695652
9300,577343.9,62.07998924731183
9400,587768.9,62.52860638297872
9500,602925.0,63.46578947368421
9600,605081.0,63.029270833333335
9700,610053.0,62.8920618556701
9800,613143.5,62.56566326530612
9900,622154.5,62.84388888888889
10000,625717.5,62.57175
